company_id,industry_name,industry_detail,industry_large,industry_medium,industry_small
14638,株式会社ナテックス,"PanasonicHomesの１００％出資の専門子会社として、主にPanasonicHomesを中心に外構・造園（エクステリア＆ガーデン）の設計・施工管理・リフォーム・アフターメンテナンス・建物建築前の現況測量を担当しております。
近年は大型分譲地の街並みづくりにも参画しております。2020年1月より「住宅」「建設」「まちづくり」事業を行う企業グループ「PrimeLifeTechnologies」の傘下に入りました。
お客様にとって使い勝手の良い、オンリーワンのエクステリア＆ガーデンを提供しております。
首都圏関東を中心に、新潟、仙台、中部、近畿、福岡まで事業所を展開、担当拠点内で年間1,500件強のエクステリア＆ガーデンを手掛けております。",建設／プラント／不動産,ゼネコン／サブコン／建築設計会社／職別工事会社,エクステリア／外構工事
15584,総合工事業,"建築工事　居住空間から、文化・生産施設まで幅広い展開をしており、新しい都市空間の創造や再開発の場でも活躍しています。また地域、自然環境との調和を心がけ豊かな社会づくりに貢献しています。
土木工事　土木技術と経験は『高度な完成度』をもとに道路、地下鉄、公園など多くの実績を築き、自然との共生による環境づくりを行っています。
工場生産サポート　会社創業時から蓄積したノウハウと現在の技術を融合し、工場建築から機械基礎及び稼働後のメンテナンスまで手がけています。",建設／プラント／不動産,ゼネコン／サブコン／建築設計会社／職別工事会社,ゼネコン
22045,自動車部品卸売業,"地域の自動車整備業者（カーディーラー、整備工場、板金工場、ガソリンスタンド等）がお客様です。自動車1台につき、3万点あると言われる自動車部品ですが、メーカー、型式など様々な条件によって、必要となる物が違います。カーディーラーの整備工場であっても、それら全てを在庫として持つことは不可能です。
山形部品はそんなお客様のために、部品倉庫となって「必要な物を」「必要な時に」「欲しい数だけ」をお届けするスタイルで、山形県・秋田県・宮城県に事業展開をしてきました。
地方で車は生活必需品の一部です。そして必ず整備が必要なため、当社事業の需要はなくなる事がありません。もちろん、既存のお客様がよりエンドユーザーに提案がしやすい、あるいは利益が出しやすいといった新商品や新サービスの提案も忘れません。それは信頼から生まれる繋がりを大切にしながら、共に「進化」を止めないといった理念を持っているからです。
地域のお客様に指示されて60周年を迎えました。これからも多くの部品を必要とするお客様から信頼されるビジネスパートナーとなり、名実共に東北一の部品商となるべく奔走します。

ルート営業社員の1日（例）
8：15頃　出社、営業所の清掃、業務の準備
8：30　　朝礼、朝ミーティング
9：00～　午前配達の準備、準備が出来次第出発
～11：30　帰社、午前配達の伝票処理、午前の受注の処理
12：00～昼休憩
13：00～　午後配達の準備、準備が出来次第出発
～16：00　帰社、午後配達の伝票処理、午後の受注の処理
～18：00　見積作成や商談の準備等
18：30　退社",専門商社（電気／機械）,専門商社（自動車／自動車部品）,専門商社（自動車部品）
22263,地質調査・土壌汚染調査・土壌地下水浄化,"地盤調査の技術者は対象地の地形・地質を調査し把握することで、目的に沿った地盤の工学的特性や問題点を明らかにし、解決策を提案する職種です。調査結果はその後の設計・施工にとって必須の基礎データとなるので、非常にやりがいがあります。

＜地盤調査業務の流れ＞
◆お客様から調査の目的を伺います。
◆既存資料から対象地の概略地盤状況を把握し、調査目的・予算に見合う内容（調査項目、調査数量など）の提案を行います。
◆内容や予算について了解が得られたら、契約して実際に現地調査を行います。
◆必要により現地で採取した試料で室内試験を行います。
◆調査データを整理して、各種の図面などにまとめます。
◆調査目的と照らし合わせ、対象地盤の工学的特性、問題点やその解決策を記述した報告書としてまとめます。
◆必要に応じて追加調査の提案も行います。",技術サービス,建設コンサルタント／地質調査／測量,地質調査／ボーリング調査
23993,株式会社マックスガイ,"【リユース事業】
リユースと社会貢献の事業化として、「THE　GOLD」はスタートしました。
地球の環境問題に端を発し、当社は希少金属の中でも、日常生活で身近にある金、プラチナ、ダイヤモンドをリユースする買取専門店を展開し、ブランド品・時計・着物・骨董品等の買取、一部の店舗での販売を行っています。
このようなリユース活動を通じて、さらなる地球環境の負荷低減を目指しています。

【オークション事業】
当社が運営する「東京エムジーオークション」は、オークションの可能性を追求して、新たな価値を創造するため、変革に挑戦するオークション事業です。
全国展開している買取専門店「THE GOLD」で買取した商品のほか、日本全国から鮮度の高い商品を集めています。
価格帯のラインナップが豊富で欲しい商品が見つけやすく、初心者でも参加しやすいオークションを目指しています。",リサイクル／レンタル／シェアリングエコノミー,リサイクル／中古／買取,買取
24791,株式会社ライトアップ,"ライトアップが実現したいこと

「全国、全ての中小企業を黒字にする」

社員アンケートの結果、当社のいいところ第一位は「人がいい」です。
実際、離職率も低く、落ち着いた環境でビジネスに携わることが可能です。

（株）ライトアップは、2002年にサイバーエージェント社コンテンツ部門メンバーが中心になり設立されました。元々の部署名が「メルマガファクトリ」だったこともあり、当初は様々な企業の「メールマガジン」の編集代行を実施していました。現在でも、ライトアップは「現存する国内最古のメルマガ編集会社のひとつ」だと思います。

その後、「メルマガ」→「ブログ」→「バズマーケ」→「ソーシャルマーケ」→「SEO」→「クラウドツール」→「経営コンサル」・・・と新規事業と業態転換を続けながら拡大しています。その結果、2018年6月22日（金）に東証マザーズ市場へ上場することができました（証券コード：6580）。

選択と集中という言葉がありますが、弊社は真逆を進み「世の中が望むサービスをできるだけたくさん、できるだけ低コストで提供し続けていく」をモットーに、あらゆる新規事業にチャレンジし続けています。

20年近くの社歴に基づいた安定感と、社員の数より多い商品・サービス郡を武器に、これからも「受託制作業務」→「クラウドツール開発・卸業務」→「赤字の中小企業への経営・ＩＴ支援」に全力で取り組んでまいります。",コンサルティング／リサーチ,コンサルティング,コンサルティング（ITベンダー＆事業会社系）
28237,システム開発,"中小企業向けのITコンサルティング、戦略立案からシステム開発、フィールドワークまで幅広く企業様向けのITサービスを提供しています。
今回の募集にはITエンジニアの募集以外にもプラントエンジニアリングの募集もおこなっています。

PPFパートナーズの”経営理念”である〈いいひとづくり〉。

わたしたちは「ものづくり」を行うシステム開発会社ですが、
そのまえに「いいひと」をつくる教育機関であるべき、という想いからきています。

技術を高めるための教育研修
人間性を高めるための理念教育
これらをしっかりと行い、一人一人の能力を最大化します。

〈やりたいことができるようになると、人生はもっと楽しくなる〉
会社とは、成長と挑戦、やりがいを生み出すための舞台です。
わたしたちと一緒に、あなたの夢や人生の目的を叶えましょう！",IT／インターネット／ゲーム／通信,IT／通信サービス,ソフトウェア
32607,建設機械器具のレンタル・販売・修理,工事現場などで使用する建設機械器具のレンタル、販売、修理,リサイクル／レンタル／シェアリングエコノミー,レンタル,レンタル（建設機械／建設資材）
32964,プラスチック製造,"光学技術・射出成形技術・電子技術を用いたプラスチック製品の企画・開発・量産
光学技術：プラスチックレンズ、プリズム、ライトガイド、導光体組合せレンズなど
射出成形技術：ウォシュレット便座、サーモスタッドハウジング水栓部品など
電子技術：ガス漏れ警報器、住宅用火災警報器など",メーカー（部品製造／加工）,メーカー（金属加工／機械加工／プラスチック加工／鋼板加工）,メーカー（プラスチック加工）
33097,株式会社友菱,"【事業内容】
建築設計･工事、リフォーム全般、内装デザイン、各種サイン企画･製作・施工、不動産
【補足事項】
日本全国を対象に、街並みを彩るロードサイド店舗（特にカーディーラー）へのワンストップソリューションサービスを提供しています。近年では、環境に配慮した電気自動車の普及に伴う充電スタンドの施工（国内実績は50％超）も手掛けています。",建設／プラント／不動産,その他（建設／プラント／不動産）,その他（建設／プラント／不動産）
