company_id,section_label,job_type_label,role_rank_id,post_label,score_1,miidas_job_type_small_id_1,miidas_job_type_small_name_1,score_2,miidas_job_type_small_id_2,miidas_job_type_small_name_2,score_3,miidas_job_type_small_id_3,miidas_job_type_small_name_3,score_4,miidas_job_type_small_id_4,miidas_job_type_small_name_4,score_5,miidas_job_type_small_id_5,miidas_job_type_small_name_5
14638,G-TEC営業部,,,リーダー,,,,,,,,,,,,,,,
14638,G-TEC営業部,,,,,,,,,,,,,,,,,,
14638,中部営業部,,,副部長,,,,,,,,,,,,,,,
14638,中部営業部,,,所長,,,,,,,,,,,,,,,
14638,中部営業部,,,,,,,,,,,,,,,,,,
14638,事業推進部,,,部長,,,,,,,,,,,,,,,
14638,事業推進部,,,,,,,,,,,,,,,,,,
14638,事業推進部,,,リーダー,,,,,,,,,,,,,,,
14638,事業開発部,,,,,,,,,,,,,,,,,,
14638,人事総務部,,,課長,,,,,,,,,,,,,,,
14638,人事総務部,,,,,,,,,,,,,,,,,,
14638,休職中,,,,,,,,,,,,,,,,,,
14638,埼玉営業部,,,,,,,,,,,,,,,,,,
14638,埼玉営業部,,,リーダー,,,,,,,,,,,,,,,
14638,埼玉営業部,,,部長,,,,,,,,,,,,,,,
14638,埼玉営業部,,,所長,,,,,,,,,,,,,,,
14638,建設部,,,部長,,,,,,,,,,,,,,,
14638,建設部,,,,,,,,,,,,,,,,,,
14638,建設部,,,リーダー,,,,,,,,,,,,,,,
14638,技術,,,取締役,,,,,,,,,,,,,,,
14638,本社,,,社長,,,,,,,,,,,,,,,
14638,東京・神奈川地区,,,取締役,,,,,,,,,,,,,,,
14638,東京営業部,,,所長,,,,,,,,,,,,,,,
14638,東京営業部,,,リーダー,,,,,,,,,,,,,,,
14638,東京営業部,,,部長,,,,,,,,,,,,,,,
14638,東京営業部,,,,,,,,,,,,,,,,,,
14638,東北・北関東営業部,,,,,,,,,,,,,,,,,,
14638,東北・北関東営業部,,,店長,,,,,,,,,,,,,,,
14638,東関東営業部,,,リーダー,,,,,,,,,,,,,,,
14638,東関東営業部,,,,,,,,,,,,,,,,,,
