大分類ID,大分類名,中分類ID,中分類名,小分類ID,小分類名,仕事内容の説明
10,営業,1010,営業（金融）,101010,法人営業（金融）,金融系の法人営業は企業への資金の貸し付けや、企業への融資の提案がメインの業務となります。具体的には、企業の財務状況や事業計画を詳細に分析し、最適な融資プランを提案します。また、企業の成長や経営改善を支援するために、事業承継やM&A（事業の買収や合併）のサポートも行います。これにより、企業の資金ニーズに応じた柔軟な金融サービスを提供し、顧客企業との長期的な信頼関係を築くことが求められます。金融機関は、これらの融資によって生じる利子収入を主な収益源としています。
10,営業,1010,営業（金融）,101011,個人営業（金融）,金融系の個人営業は、主に個人のお客様に対して金融商品やサービスを提案・提供する業務です。具体的には、預金口座の開設、ローンの相談・申請、投資信託や保険商品の販売などが含まれます。お客様のライフステージやニーズに応じた資産運用や資産形成のアドバイスも行います。また、定期的なフォローアップや新商品の提案を通じて、お客様との長期的な信頼関係を築くことが重要です。金融知識だけでなく、高いコミュニケーション能力とお客様のニーズを的確に把握する能力が求められます。
10,営業,1011,営業（不動産）,101117,法人営業（売買仲介）,不動産業界の法人営業（売買仲介）は、主に法人顧客に対して不動産の売買仲介を行う役割です。具体的には、企業が所有する不動産の売却や、新たなオフィスや工場用地の購入をサポートします。顧客のニーズをヒアリングし、最適な不動産物件を提案するだけでなく、契約交渉や契約書の作成、取引の進行管理なども担当します。また、市場動向の分析や物件の評価、法的な手続きのサポートなども重要な業務となります。法人営業は、企業のビジネス戦略や成長計画に深く関わるため、高い専門知識と信頼関係の構築が求められます。
10,営業,1011,営業（不動産）,101118,個人営業（売買仲介）,不動産の個人営業（売買仲介）は、主に個人のお客様に対して不動産の売買を仲介する業務です。具体的には、住宅や土地の売り手と買い手をつなぐ役割を果たし、物件の紹介や内覧の手配、価格交渉、契約手続きのサポートなどを行います。お客様の要望や条件に合った物件を提案するために、地域の市場動向や物件情報に精通していることが求められます。また、契約後もお客様がスムーズに新生活を始められるよう、引き渡しやアフターフォローも重要な業務の一部です。顧客との信頼関係を築き、長期的な関係を維持することが成功の鍵となります。
10,営業,1011,営業（不動産）,101119,法人営業（賃貸仲介）,不動産業界の法人営業（賃貸仲介）は、企業や法人を対象にオフィスや店舗、倉庫などの賃貸物件を仲介する業務です。具体的には、企業のニーズをヒアリングし、最適な物件を提案します。また、物件の内見の手配や契約手続きのサポート、契約後のフォローアップも行います。物件オーナーとの交渉や、契約条件の調整も重要な役割です。企業の事業展開や拡大に伴う移転や新規拠点の設立をサポートするため、マーケットの動向や地域の特性に詳しくなることが求められます。
10,営業,1011,営業（不動産）,101120,個人営業（賃貸仲介）,不動産の賃貸仲介における個人営業は、主に個人のお客様に対して賃貸物件の紹介や契約手続きを行う仕事です。具体的には、お客様の希望条件をヒアリングし、それに合った物件を提案・案内します。物件の内見の手配や、契約書の作成、入居手続きのサポートも担当します。また、オーナーとの交渉や、物件の管理業務も一部担当することがあります。お客様とのコミュニケーション能力が求められ、信頼関係を築くことが重要です。お客様が満足できる物件を見つけるために、地域の物件情報を常に把握し、最新の市場動向に精通していることが求められます。
10,営業,1011,営業（不動産）,101112,戸建販売,不動産の戸建販売は、主に個人や家族に対して新築や中古の一戸建て住宅を提案・販売する業務です。具体的には、顧客のニーズや予算に合わせて最適な物件を紹介し、現地案内や内覧のサポートを行います。契約手続きやローンの相談、引き渡しまでのサポートも重要な役割です。また、販売後のアフターサービスや、リフォームの提案なども行うことがあります。顧客との信頼関係を築き、長期的な関係を構築することが求められます。
10,営業,1011,営業（不動産）,101113,マンション販売,不動産系のマンション販売の営業は、主にマンションの購入を希望する個人や家族に対して物件の紹介や提案を行う業務です。具体的には、モデルルームの案内、物件の特徴や利点の説明、住宅ローンの相談、契約手続きのサポートなどが含まれます。また、購入後のアフターサービスや、顧客からの問い合わせ対応も重要な役割です。顧客のニーズやライフスタイルに合った最適な物件を提案するために、最新の市場動向や物件情報を常に把握しておくことが求められます。
10,営業,1011,営業（不動産）,101114,土地活用営業,不動産系の土地活用営業は、主に土地オーナーや地主に対して、土地の有効活用方法を提案する業務です。具体的には、遊休地や未利用地を活用して収益を上げるためのプランを立案し、提案することが主な役割です。例えば、駐車場や賃貸住宅、商業施設の建設など、土地の特性やオーナーのニーズに応じた最適な活用方法を提供します。また、土地活用の提案に伴い、法的な手続きや資金計画のサポートも行います。これには、建築プランの作成、施工会社との連携、賃貸物件の入居者募集、管理運営のアドバイスなどが含まれます。土地オーナーと信頼関係を築きながら、長期的な視点で土地の価値を最大化するためのコンサルティングを行うことが求められます。
10,営業,1011,営業（不動産）,101115,リフォーム営業（戸建）,リフォーム営業（戸建）は、主に個人の住宅所有者を対象に、リフォームやリノベーションの提案および販売を行う業務です。具体的には、顧客の住まいに関する悩みや要望をヒアリングし、最適なリフォームプランを提案します。現地調査を行い、見積もりを作成し、契約を締結するまでのプロセスを担当します。また、施工中の進捗管理やアフターフォローも重要な業務の一部です。顧客との信頼関係を築き、満足度の高いリフォームを提供することが求められます。
10,営業,1011,営業（不動産）,101116,リフォーム営業（マンション／ビル）,リフォーム営業（マンション／ビル）は、主にマンションやビルのオーナーや管理会社に対して、リフォームや改修工事の提案を行う業務です。具体的には、建物の老朽化や設備の不具合を診断し、最適なリフォームプランを提供します。また、提案書や見積書の作成、契約手続き、工事進行中のフォローアップなども重要な業務の一部です。顧客との信頼関係を築き、長期的なパートナーシップを形成することが求められます。
10,営業,1014,営業（建築／土木／プラント）,101410,営業（建築）,建築業界の営業職は、主に建築プロジェクトの受注を目指して活動します。具体的な業務内容には、顧客との商談や提案、見積もりの作成、契約交渉などが含まれます。顧客は個人住宅のオーナーから、商業施設や公共施設の建設を依頼する企業や自治体まで多岐にわたります。また、建築営業はプロジェクトの進行管理や、顧客の要望に応じたカスタマイズの提案も行います。技術的な知識や法規制に関する理解が求められるため、エンジニアや設計士との連携も重要です。さらに、業界のトレンドや競合他社の動向を把握し、常に最新の情報を持って顧客に最適な提案を行うことが求められます。
10,営業,1014,営業（建築／土木／プラント）,101411,営業（土木）,土木業界における営業（土木）の仕事は、主に土木工事に関連する案件の獲得やクライアントとの関係構築を担当します。具体的な業務内容としては、以下のようなものが含まれます：1. **新規案件の開拓**：新しいプロジェクトや工事案件を獲得するために、自治体や民間企業、ゼネコンなどのクライアントに対して提案活動を行います。2. **見積もり・提案書の作成**：クライアントのニーズに応じた見積もりや提案書を作成し、プロジェクトの詳細やコスト、スケジュールなどを明確に伝えます。3. **契約交渉**：契約条件や価格の交渉を行い、双方が納得できる形で契約を締結します。4. **プロジェクト管理**：契約後は、プロジェクトの進捗状況を定期的に確認し、クライアントとのコミュニケーションを密に保ちながら、問題が発生した場合は迅速に対応します。5. **アフターフォロー**：工事完了後も、クライアントとの関係を維持し、次回の案件につなげるためのアフターフォローを行います。6. **市場調査**：市場の動向や競合他社の情報を収集し、自社の営業戦略に反映させるための分析を行います。土木営業は、技術的な知識と営業スキルの両方が求められる職種であり、クライアントとの信頼関係を築くことが成功の鍵となります。
10,営業,1014,営業（建築／土木／プラント）,101412,営業（プラント）,プラントの営業は、主に工場や発電所、化学プラントなどの大規模な施設の設計・建設・メンテナンスに関連する製品やサービスを企業に提案・販売する業務を担当します。この職種では、クライアントのニーズを把握し、それに基づいた最適なソリューションを提供することが求められます。具体的には、以下のような業務があります：1. **顧客ニーズのヒアリングと提案**：顧客の施設に関する課題や要望を詳細にヒアリングし、それに応じたプラント設備やサービスの提案を行います。2. **見積もりと契約交渉**：顧客に対して見積もりを作成し、価格や契約条件について交渉を行います。3. **プロジェクト管理**：契約が成立した後、プロジェクトの進行状況を管理し、納期や品質の確保を行います。これには、設計部門や施工部門との連携が必要です。4. **アフターサービス**：納品後のメンテナンスやトラブル対応も重要な業務の一部です。顧客との長期的な関係を築くために、定期的なフォローアップを行います。5. **市場調査と新規顧客開拓**：市場の動向を調査し、新しい顧客やビジネスチャンスを見つけるための活動も行います。プラントの営業は、技術的な知識と営業スキルの両方が求められるため、幅広い知識と経験が必要とされます。また、顧客との信頼関係を築き、長期的なパートナーシップを形成することが成功の鍵となります。
10,営業,1012,営業（MR／医療／化粧品）,101210,MR（新薬）,MR（新薬）は、製薬会社の医薬情報担当者として、主に新薬の情報提供や販売促進を行う職種です。具体的には、医師や薬剤師、病院の管理者など医療関係者を訪問し、自社の新薬の効果や使用方法、副作用などの情報を提供します。さらに、医療現場でのニーズやフィードバックを収集し、製品の改良や新製品の開発に役立てる役割も担います。MR（新薬）の仕事は、医療知識の習得と更新が必要であり、医療関係者との信頼関係を築くことが重要です。また、新薬の市場導入時には、競合製品との違いや優位性を明確に伝えるプレゼンテーション能力も求められます。
10,営業,1012,営業（MR／医療／化粧品）,101211,MR（ジェネリック）,ジェネリック医薬品のMR（Medical Representative）は、医療機関や薬局に対してジェネリック医薬品の提案や情報提供を行う職種です。具体的な業務内容としては、医師や薬剤師に対してジェネリック医薬品の効果や安全性、コストパフォーマンスについて説明し、採用を促進することが主な役割となります。また、医療機関や薬局からのフィードバックを収集し、自社製品の改良や新製品の開発に役立てることも重要です。ジェネリック医薬品は新薬に比べてコストが抑えられているため、医療費削減の一助となることが期待されています。
10,営業,1012,営業（MR／医療／化粧品）,101212,MR（診断薬／検査薬）,MR（診断薬／検査薬）の営業は、主に医療機関や診療所、検査センターなどに対して診断薬や検査薬の提案・販売を行う仕事です。具体的には、医師や医療従事者に対して製品の有効性や使用方法、最新の研究データなどを提供し、製品の導入や使用を促進します。また、医療現場でのニーズを把握し、新製品の開発や改良にフィードバックを提供することも重要な役割です。さらに、製品の使用後のフォローアップやトラブル対応、学術的なサポートも行います。この職種では、医療に関する専門知識やコミュニケーション能力が求められます。
10,営業,1012,営業（MR／医療／化粧品）,101213,MR（漢方薬）,MR（医薬情報担当者）として漢方薬を扱う場合、主な仕事内容は以下の通りです。1. **医療機関への訪問**: 医師や薬剤師、病院の管理者などに対して、漢方薬の情報提供や効能、副作用、使用方法などを説明します。これにより、医療従事者が患者に適切な処方を行えるようサポートします。2. **製品のプロモーション**: 漢方薬の新製品や改良版についての情報を医療機関に伝え、使用を促進します。市場での認知度を高めるための戦略を立て、実行します。3. **市場調査とフィードバック**: 医療機関からのフィードバックを収集し、製品の改善や新製品開発に役立てます。また、競合製品の動向や市場のニーズを把握し、自社製品の競争力を強化します。4. **研修やセミナーの開催**: 医療従事者向けの研修やセミナーを開催し、漢方薬の知識を深めてもらう機会を提供します。これにより、医療従事者が漢方薬をより理解し、適切に使用できるよう支援します。5. **規制対応**: 漢方薬に関する法規制やガイドラインを遵守しながら、情報提供やプロモーション活動を行います。医療機関や患者に対して安全で適切な情報を提供することが求められます。このように、MR（漢方薬）の役割は、医療従事者との信頼関係を築きながら、漢方薬の普及と適切な使用を促進することです。
10,営業,1012,営業（MR／医療／化粧品）,101214,MR（動物薬）,動物薬のMR（Medical Representative）は、動物用医薬品の販売および普及を担当する専門職です。具体的な業務内容としては、動物病院や獣医師に対して自社の動物薬を紹介し、その効果や使用方法について説明します。また、新製品の情報提供や既存製品のフォローアップも行います。獣医師や動物病院との信頼関係を築き、適切な医薬品の使用を促進することで、動物の健康管理や治療に貢献することが求められます。さらに、市場のニーズや競合製品の情報を収集し、マーケティング戦略に反映させる役割も担います。
